,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Entry
158,159,Croconaw,Water,,405,65,80,80,59,63,58,2,False,"Once Croconaw has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are
forked back like barbed fishhooks, they become impossible
to remove when they have sunk in."
159,160,Feraligatr,Water,,530,85,105,100,79,83,78,2,False,"Feraligatr intimidates its foes by opening its huge mouth.
In battle, it will kick the ground hard with its thick and powerful
hind legs to charge at the foe at an incredible speed."
160,161,Sentret,Normal,,215,35,46,34,35,45,20,2,False,"When Sentret sleeps, it does so while another stands guard.
The sentry wakes the others at the first sign of danger. When
this Pokémon becomes separated from its pack, it becomes
incapable of sleep due to fear."
161,162,Furret,Normal,,415,85,76,64,45,55,90,2,False,"Furret has a very slim build. When under attack, it can slickly
squirm through narrow spaces and get away. In spite of its
short limbs, this Pokémon is very nimble and fleet."
162,163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False,"Every day, it tilts its head in the same rhythm.
A long time ago, people raised these Pokémon
to serve as clocks."
163,164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False,"With eyes that can see in pitch-darkness, it
never lets its prey escape. Some even call it
“the emperor of dark nights.”"
164,165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False,"This Pokémon is very sensitive to cold. In the
warmth of Alola, it appears quite lively."
165,166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False,"It’s said that the patterns on its back are
related to the stars in the night sky, but the
details of that relationship remain unclear."
166,167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False,"With threads from its mouth, it fashions sturdy
webs that won’t break even if you set a rock
on them."
167,168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False,"Every night, it wanders around in search of
prey, whose movements it restrains by spewing
threads before it bites into them with its fangs."
168,169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False,"Its fangs are so sharp, if it bites you in the dark
and sucks your blood, you won’t notice any pain
or realize you’ve been bitten."
169,170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,"Its two antennae glow softly to lure in prey,
making it a useful Pokémon for night fishing."
170,171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,"When the bacteria living inside its antennae
absorb Lanturn’s bodily fluids, a strong
luminescent effect is produced."
171,172,Pichu,Electric,,205,20,40,15,35,35,60,2,False,"It still can’t use electricity well. When it’s
surprised or excited, it discharges
electricity unintentionally."
172,173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,False,"On nights with many shooting stars,
they gather in packs and dance in circles. If you
should see them, something good will happen!"
173,174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False,"It’s always practicing its singing because it
wants to improve. Even when it’s asleep,
it keeps singing in its dreams!"
174,175,Togepi,Fairy,,245,35,20,65,40,65,20,2,False,"As its energy, Togepi uses the positive emotions of
compassion and pleasure exuded by people and Pokémon.
This Pokémon stores up feelings of happiness inside its shell,
then shares them with others."
175,176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False,"Togetic is said to be a Pokémon that brings good fortune.
When the Pokémon spots someone who is pure of heart,
it is said to appear and share its happiness with that person."
176,177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False,"Although it still can’t fly, its jumping power is
outstanding. It jumps way up into trees and
plucks the buds from the branches."
177,178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False,"It’s said that while this Pokémon has the power
to predict the future, it’s not powerful enough
to change the future it sees."
178,179,Mareep,Electric,,280,55,40,40,65,45,35,2,False,"Clothing made from Mareep’s fleece is easily
charged with static electricity, so a special
process is used on it."
179,180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,False,"In the places on its body where fleece doesn’t
grow, its skin is rubbery and doesn’t conduct
electricity. Those spots are safe to touch."
180,181,Ampharos,Electric,,510,90,75,85,115,90,55,2,False,"The light from its tail can be seen from space.
This is why you can always tell exactly where it
is, which is why it usually keeps the light off."
181,182,Bellossom,Grass,,490,75,80,95,90,100,50,2,False,"A Bellossom grows flowers more beautifully if it has evolved
from a smelly Gloom—the more stinky the better. At night, this
Pokémon closes its petals and goes to sleep."
182,183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False,"When fishing for food at the edge of a fast-running stream,
Marill wraps its tail around the trunk of a tree. This Pokémon’s
tail is flexible and configured to stretch."
183,184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False,"Azumarill can make balloons out of air. It makes these air
balloons if it spots a drowning Pokémon. The air balloons
enable the Pokémon in trouble to breathe."
184,185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False,"It’s so popular with the elderly that there’s a
magazine devoted to this Pokémon. Fans obsess
over the particular length and angle of its arms."
185,186,Politoed,Water,,500,90,75,75,90,100,70,2,False,"Although its cries sound like screams, a
composer created a beautiful ballad that was
influenced by the sounds."
186,187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False,"This Pokémon drifts and floats with the wind. If it senses the
approach of strong winds, Hoppip links its leaves with other
Hoppip to prepare against being blown away."
187,188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False,"Skiploom’s flower blossoms when the temperature rises
above 64 degrees Fahrenheit. How much the flower opens
depends on the temperature. For that reason, this Pokémon
is sometimes used as a thermometer."
188,189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False,"Jumpluff rides warm southern winds to cross the sea and fly to
foreign lands. The Pokémon descends to the ground when it
encounters cold air while it is floating."
189,190,Aipom,Normal,,360,55,70,55,40,55,85,2,False,"As it did more and more with its tail, its hands
became clumsy. It makes its nest high in
the treetops."
190,191,Sunkern,Grass,,180,30,30,30,30,30,30,2,False,"Sunkern tries to move as little as it possibly can. It does so
because it tries to conserve all the nutrients it has stored in its
body for its evolution. It will not eat a thing, subsisting only on
morning dew."
191,192,Sunflora,Grass,,425,75,75,55,105,85,30,2,False,"Sunflora converts solar energy into nutrition. It moves around
actively in the daytime when it is warm. It stops moving as
soon as the sun goes down for the night."
192,193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False,"Yanma is capable of seeing 360 degrees without having to
move its eyes. It is a great flier that is adept at making sudden
stops and turning midair. This Pokémon uses its flying ability
to quickly chase down targeted prey."
193,194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False,"Wooper usually lives in water. However, it occasionally comes
out onto land in search of food. On land, it coats its body with
a gooey, toxic film."
194,195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False,"Quagsire hunts for food by leaving its mouth wide open in
water and waiting for its prey to blunder in unaware. Because
the Pokémon does not move, it does not get very hungry."
195,196,Espeon,Psychic,,525,65,65,60,130,95,110,2,False,"Although it originally had no powers at all,
people say its precognitive faculties were
awakened by its need to protect itself."
196,197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False,"This Pokémon is nocturnal. Even in total
darkness, its large eyes can spot its
prey clearly!"
197,198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False,"It has a weakness for shiny things. It’s been
known to sneak into the nests of Gabite—noted
collectors of jewels—in search of treasure."
198,199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False,"It’s constantly coming up with new ideas that
would change the world, but as soon as it
hits upon a new idea, it forgets it."
199,200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,False,"What gives meaning to its life is surprising
others. If you set your ear against the red orbs
around its neck, you can hear shrieking."
200,201,Unown,Psychic,,336,48,72,48,72,48,48,2,False,"This Pokémon is shaped like ancient writing. It is a mystery as
to which came first, the ancient writings or the various Unown.
Research into this topic is ongoing but nothing is known."
201,202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False,"Wobbuffet does nothing but endure attacks—it won’t attack on
its own. However, it won’t endure an attack on its tail. When
that happens, the Pokémon will try to take the foe with it using
Destiny Bond."
202,203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False,"Girafarig’s rear head contains a tiny brain that is too small for
thinking. However, the rear head doesn’t need to sleep, so it
can keep watch over its surroundings 24 hours a day."
203,204,Pineco,Bug,,290,50,65,90,35,35,15,2,False,"Motionless, it hangs from trees, waiting for
its bug Pokémon prey to come to it. Its favorite
in Alola is Cutiefly."
204,205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False,"When something approaches it, it fires off
fragments of its steel shell in attack. This is not
a conscious action but a conditioned reflex."
205,206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,False,"It travels by digging through the ground.
Diglett and Dunsparce share one another’s
tunnels happily."
206,207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False,"Gligar glides through the air without a sound as if it were
sliding. This Pokémon hangs on to the face of its foe using
its clawed hind legs and the large pincers on its forelegs, then
injects the prey with its poison barb."
207,208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False,"Steelix lives even further underground than Onix.
This Pokémon is known to dig toward the earth’s core.
There are records of this Pokémon reaching a depth of
over six-tenths of a mile underground."
208,209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,False,"It grows close to others easily and is also easily
spoiled. The disparity between its face and its
actions makes many young people wild about it."
209,210,Granbull,Fairy,,450,90,120,75,60,60,45,2,False,"While it has powerful jaws, it doesn’t care for
disputes, so it rarely has a chance to display
their might."
210,211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False,"Qwilfish sucks in water, inflating itself. This Pokémon
uses the pressure of the water it swallowed to shoot toxic
quills all at once from all over its body. It finds swimming
somewhat challenging."
211,212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False,"Its body is like steel. Its tough, heavy pincers
are more suited to smashing enemies than
grabbing them."
212,213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False,"Shuckle quietly hides itself under rocks, keeping its body
concealed inside its hard shell while eating berries it has
stored away. The berries mix with its body fluids to become
a juice."
213,214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False,"It’s proud of its thick horn. In Alola, its biggest
rival is Vikavolt, which it’s always fighting with."
214,215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False,"They will cooperate to steal eggs from the nests
of bird Pokémon, but fights break out to
determine which one gets to eat the eggs."
215,216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False,"This Pokémon likes to lick its palms that are sweetened by
being soaked in honey. Teddiursa concocts its own honey
by blending fruits and pollen collected by Beedrill."
216,217,Ursaring,Normal,,500,90,130,75,75,75,55,2,False,"In the forests inhabited by Ursaring, it is said that there are
many streams and towering trees where they gather food. This
Pokémon walks through its forest gathering food every day."
217,218,Slugma,Fire,,250,40,40,40,70,40,20,2,False,"Slugma does not have any blood in its body. Instead, intensely
hot magma circulates throughout this Pokémon’s body,
carrying essential nutrients and oxygen to its organs."
218,219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False,"Magcargo’s body temperature is approximately
18,000 degrees Fahrenheit. Water is vaporized on contact.
If this Pokémon is caught in the rain, the raindrops instantly
turn into steam, cloaking the area in a thick fog."
219,220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False,"Swinub roots for food by rubbing its snout against the ground.
Its favorite food is a mushroom that grows under the cover of
dead grass. This Pokémon occasionally roots out hot springs."
220,221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False,"Piloswine is covered by a thick coat of long hair that enables
it to endure the freezing cold. This Pokémon uses its tusks to
dig up food that has been buried under ice."
221,222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False,"The pink of Corsola that live in Alola is deep
and vibrant, thanks to seas filled with nutrition."
222,223,Remoraid,Water,,300,35,65,35,65,35,65,2,False,"This Pokémon clings to Mantine and shares in
its prosperity. When its Mantine is attacked,
Remoraid will fight alongside it!"
223,224,Octillery,Water,,480,75,105,75,105,75,45,2,False,"The ink it spits when escaping is special.
It contains a substance that dulls the sense of
smell, so Pokémon with keen noses get lost."
224,225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False,"It shares its food with people who are stranded.
Because Delibird is omnivorous, sometimes
it gives those people bug Pokémon."
225,226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False,"Postcards and posters featuring Mantine
leaping elegantly above the waves are popular
souvenirs of Alola."
226,227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False,"The wing feathers it sheds can be processed
and made into knives whose sharpness is
recognized by the finest chefs."
227,228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False,"It cooperates with others skillfully. When it
becomes your partner, it’s very loyal to you as
its Trainer and will obey your orders."
228,229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False,"They spew flames mixed with poison to finish
off their opponents. They divvy up their prey
evenly among the members of their pack."
229,230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False,"Kingdra sleeps on the seafloor where it is otherwise devoid
of life. When a storm arrives, the Pokémon is said to awaken
and wander about in search of prey."
230,231,Phanpy,Ground,,330,90,60,60,40,40,40,2,False,"Phanpy uses its long nose to shower itself. When others
gather around, they thoroughly douse each other with water.
These Pokémon can be seen drying their soaking-wet
bodies at the edge of water."
231,232,Donphan,Ground,,500,90,120,120,60,60,50,2,False,"If Donphan were to tackle with its hard body, even a house
could be destroyed. Using its massive strength, the Pokémon
helps clear rock and mud slides that block mountain trails."
232,233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False,"AI has been installed in it. It learns various
things all on its own, but it even remembers
things it doesn’t need to know."
233,234,Stantler,Normal,,465,73,95,62,85,65,85,2,False,"Stantler’s magnificent antlers were traded at high prices as
works of art. As a result, this Pokémon was hunted close to
extinction by those who were after the priceless antlers."
234,235,Smeargle,Normal,,250,55,20,35,20,45,75,2,False,"The fluid of Smeargle’s tail secretions changes
in the intensity of its hue as the Pokémon’s
emotions change."
235,236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,False,"Tyrogue becomes stressed out if it does not get to train every
day. When raising this Pokémon, the Trainer must establish
and uphold various training methods."
236,237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,False,"Hitmontop spins on its head at high speed, all the while
delivering kicks. This technique is a remarkable mix of both
offense and defense at the same time. The Pokémon travels
faster spinning than it does walking."
237,238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False,"When it examines things, before touching them
with its hands, it makes lip contact and then
diligently licks all the dirt off its lips."
238,239,Elekid,Electric,,360,45,63,37,65,55,95,2,False,"When it hears the crash of thunder, Elekid’s
mood improves. It can be useful to record that
sound and play it when Elekid’s feeling down."
239,240,Magby,Fire,,365,45,75,37,70,55,83,2,False,"When flames drip from its nose, that means it
has a cold. Have it lie down for a nice rest in
some magma."
240,241,Miltank,Normal,,490,95,80,105,40,70,100,2,False,"It produces over five gallons of milk a day. The
higher the quality of the pastures it lives in,
the richer and tastier its milk becomes."
241,242,Blissey,Normal,,540,255,10,10,75,135,55,2,False,"Their eggs are such a delicacy that some say
eating one will bring you happiness. These eggs
fetch the highest prices on the market."
242,243,Raikou,Electric,,580,90,85,75,115,100,115,2,True,"Raikou embodies the speed of lightning. The roars of
this Pokémon send shock waves shuddering through the
air and shake the ground as if lightning bolts had come
crashing down."
243,244,Entei,Fire,,580,115,115,85,90,75,100,2,True,"Entei embodies the passion of magma. This Pokémon is
thought to have been born in the eruption of a volcano.
It sends up massive bursts of fire that utterly consume all
that they touch."
244,245,Suicune,Water,,580,100,75,115,90,115,85,2,True,"Suicune embodies the compassion of a pure spring of water.
It runs across the land with gracefulness. This Pokémon has
the power to purify dirty water."
245,246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False,"Born underground, it eats its way through dirt to
the surface, where its parents are. It doesn’t
deal well with the bright light it finds there."
246,247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False,"This troublesome Pokémon can’t wait to evolve,
so it relieves its stress by wildly propelling itself
around using compressed gas."
247,248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False,"It wanders through the mountains seeking
opponents to fight. If it finds an opponent that’s
not worthy, Tyranitar ignores it and wanders on."
248,249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True,"Lugia’s wings pack devastating power—a light fluttering of its
wings can blow apart regular houses. As a result, this
Pokémon chooses to live out of sight deep under the sea."
249,250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True,"Ho-Oh’s feathers glow in seven colors depending on the angle
at which they are struck by light. These feathers are said to
bring happiness to the bearers. This Pokémon is said to live at
the foot of a rainbow."
250,251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False,"This Pokémon came from the future by crossing over time.
It is thought that so long as Celebi appears, a bright and
shining future awaits us."
251,252,Treecko,Grass,,310,40,45,35,65,55,70,3,False,"Treecko is cool, calm, and collected—it never panics under
any situation. If a bigger foe were to glare at this Pokémon,
it would glare right back without conceding an inch of ground."
252,253,Grovyle,Grass,,405,50,65,45,85,65,95,3,False,"This Pokémon adeptly flies from branch to branch in trees.
In a forest, no Pokémon can ever hope to catch a fleeing
Grovyle however fast they may be."
253,254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False,"Sceptile has seeds growing on its back. They are said to be
bursting with nutrients that revitalize trees. This Pokémon
raises the trees in a forest with loving care."
254,255,Torchic,Fire,,310,45,60,40,70,50,45,3,False,"Torchic has a place inside its body where it keeps its flame.
Give it a hug—it will be glowing with warmth. This Pokémon is
covered all over by a fluffy coat of down."
255,256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False,"Combusken battles with the intensely hot flames it spews from
its beak and with outstandingly destructive kicks. This
Pokémon’s cry is very loud and distracting."
256,257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False,"Blaziken has incredibly strong legs—it can easily clear a
30-story building in one leap. This Pokémon’s blazing punches
leave its foes scorched and blackened."
257,258,Mudkip,Water,,310,50,70,50,50,50,40,3,False,"In water, Mudkip breathes using the gills on its cheeks. If it is
faced with a tight situation in battle, this Pokémon will unleash
its amazing power—it can crush rocks bigger than itself."
258,259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False,"Marshtomp is much faster at traveling through mud than it is at
swimming. This Pokémon’s hindquarters exhibit obvious
development, giving it the ability to walk on just its hind legs."
259,260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False,"Swampert predicts storms by sensing subtle differences in the
sounds of waves and tidal winds with its fins. If a storm is
approaching, it piles up boulders to protect itself."
260,261,Poochyena,Dark,,220,35,55,35,30,30,35,3,False,"Poochyena is an omnivore—it will eat anything. A distinguishing
feature is how large its fangs are compared to its body. This
Pokémon tries to intimidate its foes by making the hair on its
tail bristle out."
261,262,Mightyena,Dark,,420,70,90,70,60,60,70,3,False,"Mightyena travel and act as a pack in the wild. The memory
of its life in the wild compels the Pokémon to obey only
those Trainers that it recognizes to possess superior skill."
262,263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,False,"The hair on Zigzagoon’s back is bristly. It rubs the hard back
hair against trees to leave its territorial markings. This Pokémon
may play dead to fool foes in battle."
263,264,Linoone,Normal,,420,78,70,61,50,61,100,3,False,"When hunting, Linoone will make a beeline straight for the
prey at a full run. While this Pokémon is capable of topping
60 mph, it has to come to a screeching halt before it can turn."
264,265,Wurmple,Bug,,195,45,45,35,20,30,20,3,False,"Wurmple is targeted by Swellow as prey. This Pokémon
will try to resist by pointing the spikes on its rear at the
attacking predator. It will weaken the foe by leaking poison
from the spikes."
265,266,Silcoon,Bug,,205,50,35,55,25,25,15,3,False,"Silcoon was thought to endure hunger and not consume
anything before its evolution. However, it is now thought
that this Pokémon slakes its thirst by drinking rainwater
that collects on its silk."
266,267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False,"Beautifly has a long mouth like a coiled needle, which is very
convenient for collecting pollen from flowers. This Pokémon
rides the spring winds as it flits around gathering pollen."
267,268,Cascoon,Bug,,205,50,35,55,25,25,15,3,False,"If it is attacked, Cascoon remains motionless however badly it
may be hurt. It does so because if it were to move, its body
would be weak upon evolution. This Pokémon will also not
forget the pain it endured."
268,269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False,"When Dustox flaps its wings, a fine dust is scattered all over.
This dust is actually a powerful poison that will even make a
pro wrestler sick. This Pokémon searches for food using its
antennae like radar."
269,270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False,"Lotad is said to have dwelled on land before. However, this
Pokémon is thought to have returned to water because the
leaf on its head grew large and heavy. It now lives by floating
atop the water."
270,271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False,"Lombre’s entire body is covered by a slippery, slimy film.
It feels horribly unpleasant to be touched by this Pokémon’s
hands. Lombre is often mistaken for a human child."
271,272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False,"Upon hearing an upbeat and cheerful rhythm, the cells in
Ludicolo’s body become very energetic and active. Even
in battle, this Pokémon will exhibit an amazing amount
of power."
272,273,Seedot,Grass,,220,40,40,50,30,30,30,3,False,"Seedot looks exactly like an acorn when it is dangling from a
tree branch. It startles other Pokémon by suddenly moving.
This Pokémon polishes its body once a day using leaves."
273,274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False,"This Pokémon pulls out the leaf on its head and makes a flute
with it. The sound of Nuzleaf’s flute strikes fear and uncertainty
in the hearts of people lost in a forest."
274,275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False,"Shiftry’s large fans generate awesome gusts of wind at a
speed close to 100 feet per second. The whipped-up wind
blows anything away. This Pokémon chooses to live quietly
deep in forests."
275,276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,False,"Taillow is young—it has only just left its nest. As a result,
it sometimes becomes lonesome and cries at night.
This Pokémon feeds on Wurmple that live in forests."
276,277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False,"Swellow is very conscientious about the upkeep of its glossy
wings. Once two Swellow are gathered, they diligently take
care of cleaning each other’s wings."
277,278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False,"With its long, thin wings, it catches updrafts
and flies like a glider high up into the sky."
278,279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False,"It places small Pokémon into its spacious beak
and carries them around. No one knows where
it’s taking them."
279,280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False,"Ralts has the ability to sense the emotions of people. If its
Trainer is in a cheerful mood, this Pokémon grows cheerful
and joyous in the same way."
280,281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False,"Kirlia uses the horns on its head to amplify its psychokinetic
power. When the Pokémon uses its power, the air around it
becomes distorted, creating mirages of nonexistent scenery."
281,282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False,"Gardevoir has the psychokinetic power to distort the
dimensions and create a small black hole. This Pokémon
will try to protect its Trainer even at the risk of its own life."
282,283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False,"If it’s in a pinch, it will secrete a sweet liquid
from the tip of its head. Syrup made from
gathering that liquid is tasty on bread."
283,284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False,"Masquerain intimidates enemies with the eyelike
patterns of its eyespots. If that doesn’t work, it
deftly makes its escape on its set of four wings."
284,285,Shroomish,Grass,,295,60,40,60,40,60,35,3,False,"If Shroomish senses danger, it shakes its body and scatters
spores from the top of its head. This Pokémon’s spores are
so toxic, they make trees and weeds wilt."
285,286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False,"The seeds ringing Breloom’s tail are made of hardened toxic
spores. It is horrible to eat the seeds. Just taking a bite of this
Pokémon’s seed will cause your stomach to rumble."
286,287,Slakoth,Normal,,280,60,60,60,35,35,30,3,False,"Slakoth’s heart beats just once a minute. Whatever happens,
it is content to loaf around motionless. It is rare to see this
Pokémon in motion."
287,288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,False,"Vigoroth is simply incapable of remaining still. Even when it
tries to sleep, the blood in its veins grows agitated, compelling
this Pokémon to run wild throughout the jungle before it can
settle down."
288,289,Slaking,Normal,,670,150,160,100,95,65,100,3,False,"Wherever Slaking live, rings of over a yard in diameter appear
in grassy fields. They are made by the Pokémon as it eats all
the grass within reach while lying prone on the ground."
289,290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False,"Nincada lives underground. It uses its sharp claws to carve the
roots of trees and absorb moisture and nutrients.
This Pokémon can’t withstand bright sunlight so avoids it."
290,291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False,"If Ninjask is not trained properly, it will refuse to obey
the Trainer and cry loudly continuously. Because of this
quality, this Pokémon is said to be one that puts the
Trainer’s abilities to the test."
291,292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False,"Shedinja is a peculiar Pokémon. It seems to appear unsought
in a Poké Ball after a Nincada evolves. This bizarre Pokémon
is entirely immobile—it doesn’t even breathe."
292,293,Whismur,Normal,,240,64,51,23,51,23,28,3,False,"Whismur is very timid. If it starts to cry loudly, it becomes
startled by its own crying and cries even harder. When it finally
stops crying, the Pokémon goes to sleep, all tired out."
293,294,Loudred,Normal,,360,84,71,43,71,43,48,3,False,"Loudred shouts while stamping its feet. After it finishes
shouting, this Pokémon becomes incapable of hearing
anything for a while. This is considered to be a weak point."
294,295,Exploud,Normal,,490,104,91,63,91,73,68,3,False,"Exploud communicates its feelings to the others by emitting
whistle-like sounds from the tubes on its body. This Pokémon
only raises its voice when it is in battle."
295,296,Makuhita,Fighting,,237,72,60,30,20,30,25,3,False,"It practices its slaps by repeatedly slapping
tree trunks. It has been known to slap an
Exeggutor and get flung away."
296,297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False,"Although they enjoy comparing their strength,
they’re also kind. They value etiquette, praising
opponents they battle."
297,298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False,"Azurill’s tail is large and bouncy. It is packed full of the
nutrients this Pokémon needs to grow. Azurill can be seen
bouncing and playing on its big, rubbery tail."
298,299,Nosepass,Rock,,375,30,45,135,45,90,30,3,False,"It moves less than an inch a year, but when
it’s in a jam, it will spin and drill down into the
ground in a split second."
299,300,Skitty,Normal,,260,50,45,45,35,35,50,3,False,"Skitty is known to chase around playfully after its own tail.
In the wild, this Pokémon lives in holes in the trees of forests.
It is very popular as a pet because of its adorable looks."
300,301,Delcatty,Normal,,380,70,65,65,55,55,70,3,False,"Delcatty sleeps anywhere it wants without keeping a permanent
nest. If other Pokémon approach it as it sleeps, this Pokémon
will never fight—it will just move away somewhere else."
301,302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False,"It digs through the ground with its hard claws
and crunches down gems with its thick pointy
teeth. Carbink is its favorite food."
302,303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,False,"A cunning and terrifying Pokémon, its cuteness
makes opponents let down their guard—and
then it swallows them whole with its huge jaws."
303,304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False,"Aron has a body of steel. With one all-out charge, this
Pokémon can demolish even a heavy dump truck.
The destroyed dump truck then becomes a handy meal
for the Pokémon."
304,305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False,"Lairon feeds on iron contained in rocks and water. It makes
its nest on mountains where iron ore is buried. As a result,
the Pokémon often clashes with humans mining the iron ore."
305,306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False,"Aggron is protective of its environment. If its mountain is
ravaged by a landslide or a fire, this Pokémon will haul
topsoil to the area, plant trees, and beautifully restore its
own territory."
306,307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False,"Meditite heightens its inner energy through meditation.
It survives on just one berry a day. Minimal eating is another
aspect of this Pokémon’s training."
307,308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False,"Through the power of meditation, Medicham developed its
sixth sense. It gained the ability to use psychokinetic powers.
This Pokémon is known to meditate for a whole month
without eating."
308,309,Electrike,Electric,,295,40,45,40,65,40,65,3,False,"Friction between the air and its fur produces
static electricity. When Electrike runs, it makes
a crackling sound."
